,fid,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이,sum,LUM
849,1368,390.1048341608388,808.2817865241402,868.9424448088765,31.71280867671548,1.0,14978,411.07864041866696,1509.5700000000002,0.3133007083578926
850,1369,317.59372699002614,902.5752909057384,959.062982843116,119.35122338448328,3.0,14978,399.627879282726,1402.57,0.15965248629835974
851,1370,236.96209646828876,997.980164384422,1050.9720124232315,114.5857081611105,6.0,14978,15.9123370202353,0.0,0.0
852,1371,177.3015411263202,1094.2057414796277,1144.2386420289458,61.13792378886573,9.0,14978,244.240159870819,6713.79,0.0
853,1372,158.31517422484114,1191.0531240462562,1238.556216771511,97.00842474135672,15.5,14978,113.237773497487,34618.58,0.0
854,1373,185.42473251512143,1288.3820967930153,1333.7017910558936,155.95632558789563,13.5,14978,101.244237991195,0.0,0.0
855,1374,252.3895901907892,1386.0912140993405,1429.5100440371975,243.3796504523553,9.5,14978,0.0,0.0,0.0
856,1375,336.1818195785672,1484.1053950791074,1525.856152366814,337.8527353169238,11.25,14978,0.0,0.0,0.0
857,1381,1438.700181504567,2263.705921662296,1869.226093795149,102.80573057300325,0.0,16285,69.11451845254349,0.0,0.0
858,1382,1358.4583858523908,2208.312770149447,1769.6192251513678,154.0696814952263,0.0,16285,3.54694396341731,0.0,0.0
859,1383,1280.999498247793,2156.136742277672,1670.0592082055057,111.35661358768972,0.0,16285,0.0,0.0,0.0
860,1384,1206.8594771164958,2107.416802992269,1570.5549529954694,90.6692302243358,0.0,16285,169.08789671185,0.0,0.0
861,1385,1136.687923347165,2062.3978959505907,1471.1177744920942,18.90949920133684,0.0,16285,80.73590819430679,0.0,0.0
862,1386,1071.2649659381043,2021.327323930205,1371.762259671651,67.83222676710467,0.5,16285,146.719024905058,8322.48,0.0
863,1387,1011.5124190983744,1984.4502486218585,1272.5075372191031,127.5263632937783,1.8333333333333304,16285,272.865365179593,13403.11,0.24994058567280322
864,1388,958.491353805133,1952.004353888639,1173.379185126804,92.89040926429956,4.0,16285,431.547157685108,12104.485,0.1682653544475812
865,1389,913.374803257529,1924.2138071143108,1074.412181833762,105.25627247657096,4.5,16285,356.44952531844905,6737.995,0.25916848981105506
866,1390,877.3830074205084,1901.2827572245292,975.6556285073736,179.2462378391433,6.0,16285,24.4430191537815,0.0,0.0
867,1391,851.6735916876045,1883.3887118443968,877.1806079635334,254.68387830726925,8.0,16285,90.7505921077209,0.0,0.0
868,1392,837.1943779254286,1870.676221702264,779.0938820962215,289.9987284785853,5.25,16285,100.403231565911,0.0,0.0
869,1393,834.5301077009165,1863.251347114522,681.5631150810904,281.55514726739494,3.6666666666666696,16285,25.7679081656414,0.0,0.0
870,1394,843.7927052721612,1861.1773714929736,584.8665036898859,197.40531763872116,5.0,16285,0.0,0.0,0.0
871,1395,864.5989317953537,1864.4721513978225,489.4986404665863,136.6161117109571,3.6666666666666696,16285,33.8594892963229,2560.56,0.0
872,1396,896.1451059010337,1873.1073562558456,396.4196709055242,135.49394301380823,1.8,16285,0.0,12078.29,0.0
873,1397,937.347504068962,1887.009672031916,307.7137249573409,95.5468417534282,2.6666666666666696,16285,0.0,27528.19,0.0
874,1398,986.997563581076,1906.063851543994,228.5310966898379,24.00355721409357,3.5,16285,131.987083645565,2503.075,0.061640784496348626
875,1399,955.7257985696884,1930.117322737904,172.52458480859173,83.06612544461306,3.0,23329,381.629100894469,10894.73,0.3326817529411113
876,1400,865.8915414566845,1874.546995025654,165.23482427849126,19.03379341569696,2.0,30819,124.696083948361,18400.96,0.7225220705256051
